Stadium,Capacity,Standing Room/Expanded seats,Location,Playing surface,Is Artificial Turf,Team(s),Opened,Weather Station,Roof Type
Arrowhead Stadium,76416,76416,"Kansas City,Missouri",Grass,FALSE,KC,1972,GHCND:USC00234154,None
Bank of America Stadium,73778,73778,"Charlotte,North Carolina",Grass,FALSE,CAR,1996,GHCND:USW00013881,None
Candlestick Park,69732,69732,"San Francisco,California",Kentucky Bluegrass,FALSE,SF,1960,GHCND:USW00023234,None
CenturyLink Field,67000,72000,"Seattle,Washington",FieldTurf,TRUE,SEA,2002,GHCND:USW00024234,None
Cowboys Stadium,80000,105121,"Arlington,Texas",Matrix RealGrassóartificial turf,TRUE,DAL,2009,GHCND:USC00410337,Retractable
Edward Jones Dome,66965,66965,"St. Louis,Missouri",AstroTurf GameDay Grass 3D,TRUE,STL,1995,GHCND:USW00003966,Dome
EverBank Field,67246,76867,"Jacksonville,Florida",419 Tifway Bermuda Grass,FALSE,JAC,1995,GHCND:USW00093837,None
FedExField,85000,85000,"Landover,Maryland",419 Tifway Bermuda Grass,FALSE,WAS,1997,GHCND:US1MDPG0012,None
FirstEnergy Stadium,73200,73200,"Cleveland,Ohio",Kentucky Bluegrass,FALSE,CLE,1999,GHCND:USW00004853,None
Ford Field,65000,70000,"Detroit,Michigan",FieldTurf,TRUE,DET,2002,GHCND:USW00014822,Dome
Georgia Dome,71228,71228,"Atlanta,Georgia",FieldTurf,TRUE,ATL,1992,GHCND:USC00090444,Dome
Gillette Stadium,68756,68756,"Foxborough,Massachusetts",FieldTurf,TRUE,NE,2002,GHCND:USC00190860,None
Heinz Field,65050,66662,"Pittsburgh,Pennsylvania",Grass,FALSE,PIT,2001,GHCND:USW00094823,None
Lambeau Field,79594,79594,"Green Bay,Wisconsin",Desso GrassMaster,TRUE,GB,1957,GHCND:USW00014898,None
Lincoln Financial Field,68532,69144,"Philadelphia,Pennsylvania",Desso GrassMaster,TRUE,PHI,2003,GHCND:USW00094732,None
LP Field,69143,69143,"Nashville,Tennessee",419 Tifway Bermuda Grass,FALSE,TEN,1999,GHCND:USC00406407,None
Lucas Oil Stadium,62421,70000,"Indianapolis,Indiana",FieldTurf,TRUE,IND,2008,GHCND:USW00093819,Retractable
M&T Bank Stadium,71008,71008,"Baltimore,Maryland",Sportexe Momentum Turf,TRUE,BAL,1998,GHCND:USW00093721,None
Mall of America Field,64121,64121,"Minneapolis,Minnesota",UBU-Intensity Series- S5-M Synthetic Turf,TRUE,MIN,1982,GHCND:USW00094960,Dome
Mercedes-Benz Superdome,73208,76468,"New Orleans,Louisiana",UBU-Intensity Series- S5-M Synthetic Turf,TRUE,NO,1975,GHCND:USW00012916,Dome
MetLife Stadium,82566,82566,"East Rutherford,New Jersey",FieldTurf,TRUE,NYG,2010,GHCND:USW00054743,None
MetLife Stadium,82566,82566,"East Rutherford,New Jersey",FieldTurf,TRUE,NYJ,2010,GHCND:USW00054743,None
O.co Coliseum,53200,63132,"Oakland,California",Grass,FALSE,OAK,1966,GHCND:USC00046336,None
Paul Brown Stadium,65535,65535,"Cincinnati,Ohio",FieldTurf,TRUE,CIN,2000,GHCND:USW00093812,None
Qualcomm Stadium,70561,70561,"San Diego,California",Grass,FALSE,SD,1967,GHCND:USW00023188,None
Ralph Wilson Stadium,73079,73079,"Orchard Park,New York",A-Turf Titan,TRUE,BUF,1973,GHCND:USW00014733,None
Raymond James Stadium,65908,75000,"Tampa,Florida",419 Tifway Bermuda Grass,FALSE,TB,1998,GHCND:USW00012842,None
Reliant Stadium,71054,71738,"Houston,Texas",419 Tifway Bermuda Grass,FALSE,HOU,2002,GHCND:USC00414326,Retractable
Soldier Field,61500,62871,"Chicago,Illinois",Grass,FALSE,CHI,1924,GHCND:USW00014819,None
Sports Authority Field at Mile High,76125,76125,"Denver,Colorado",Desso GrassMaster,TRUE,DEN,2001,GHCND:USC00052223,None
Sun Life Stadium,75540,80120,"Miami Gardens,Florida",419 Tifway Bermuda Grass,FALSE,MIA,1987,GHCND:USW00012882,None
University of Phoenix Stadium,63400,78600,"Glendale,Arizona",419 Tifway Bermuda Grass,FALSE,ARI,2006,GHCND:USW00023183,Retractable
